Treatment,Code,PitfallNumber,Number,Site ,Morphospecies,Abundance,Taxa,Species,ArthropodGroup,
Control,ConL4,2,4,Treeline,OrangeWasp,9,Typhidae,,wasp,
Control,ConL4,2,4,Treeline,Lizard,1,,,lizard,
Control,ConL4,2,4,Treeline,SilverFish,1,,,silverfish,
Control,ConL4,2,4,Treeline,Ant,1,,,Ant,
Control,ConL4,2,4,Treeline,BigFly,1,,,fly,
Control,ConL4,2,4,Treeline,FruitFly,1,,,fly,
Control,ConL4,2,4,Treeline,Grasshopper,1,Acrididae,,Hoppers,
Control,ConL4,2,4,Treeline,Aphid,3,,,Hoppers,
Control,ConL4,2,4,Treeline,smallMite,1,,,mite,
Control,ConL4,3,4,Treeline,OrangeWasp,9,Typhidae,,wasp,
Control,ConL4,3,4,Treeline,Neuroptera,2,,,moth,
Control,ConL4,3,4,Treeline,Aphid,4,,,Hoppers,
Control,ConL4,3,4,Treeline,SilverFish,2,,,silverfish,
Control,ConL4,3,4,Treeline,bigMite,1,,,mite,
Control,ConL5,1,5,Treeline,Spider2,1,,,Spider,
Control,ConL5,1,5,Treeline,Grillidae,1,Grillidae,,Hoppers,
Control,ConL5,1,5,Treeline,Ant,1,,,Ant,
Control,ConL5,1,5,Treeline,Neuroptera,1,,,moth,
Control,ConL5,1,5,Treeline,bigEyedWasp,1,Asilidae,,wasp,
Control,ConL5,1,5,Treeline,bigMite,2,,,mite,
Control,ConL5,2,5,Treeline,Coleoptera5,1,Cnemalobus,,groundBeetle,
Control,ConL5,2,5,Treeline,Grillidae,1,Grillidae,,Hoppers,
Control,ConL5,2,5,Treeline,SilverFish,1,,,silverfish,
Control,ConL5,2,5,Treeline,2LinedSpider,1,,,Spider,
Control,ConL5,2,5,Treeline,Spider2,1,,,Spider,
Control,ConL5,2,5,Treeline,Aphid,1,,,Hoppers,
Control,ConL5,2,5,Treeline,springTail,1,,,springtail,
Control,ConL5,2,5,Treeline,smallMite,3,,,mite,
Control,ConL5,2,5,Treeline,bigMite,2,,,mite,
Nothophagus,Not001,1,1,Treeline,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Nothophagus,Not001,1,1,Treeline,springTail,2,,,springtail,
Nothophagus,Not001,1,1,Treeline,Aphid,1,,,Hoppers,
Nothophagus,Not001,1,1,Treeline,thinFly,1,,,fly,
Nothophagus,Not001,2,1,Treeline,Centipede,1,,,centipede,
Nothophagus,Not001,2,1,Treeline,Spider2,1,,,Spider,
Nothophagus,Not001,2,1,Treeline,thinFly,1,,,fly,
Nothophagus,Not001,3,1,Treeline,Ant,7,,,Ant,
Nothophagus,Not001,3,1,Treeline,Ant2,1,,,Ant,
Nothophagus,Not001,3,1,Treeline,springTail,4,,,springtail,
Nothophagus,Not002,1,2,Treeline,thinFly,2,,,fly,
Nothophagus,Not002,1,2,Treeline,SmallFly,1,,,fly,
Nothophagus,Not002,1,2,Treeline,FruitFly,1,,,fly,
Nothophagus,Not002,1,2,Treeline,bigEyedWasp,1,Asilidae,,wasp,
Nothophagus,Not002,2,2,Treeline,Grillidae,2,Grillidae,,Hoppers,
Nothophagus,Not002,2,2,Treeline,thinFly,13,,,fly,
Nothophagus,Not002,2,2,Treeline,Ant,2,,,Ant,
Nothophagus,Not002,3,2,Treeline,Lizard,1,,,lizard,
Nothophagus,Not002,3,2,Treeline,thinFly,5,,,fly,
Nothophagus,Not003,1,3,Treeline,thinFly,5,,,fly,
Nothophagus,Not003,1,3,Treeline,2LinedSpider,1,,,Spider,
Nothophagus,Not003,1,3,Treeline,Wasp9,1,,,wasp,
Nothophagus,Not003,2,3,Treeline,2LinedSpider,1,,,Spider,
Nothophagus,Not003,2,3,Treeline,smallMite,3,,,mite,
Nothophagus,Not003,3,3,Treeline,Scorpion,1,Bothriurus,patagonicus,Spider,
Nothophagus,Not003,3,3,Treeline,LepidopteraLarvae,1,,,moth,
Nothophagus,Not003,3,3,Treeline,SilverFish,1,,,silverfish,
Nothophagus,Not003,3,3,Treeline,Spider2,1,,,Spider,
Nothophagus,Not003,3,3,Treeline,Spider5,1,Theridiidae,,Spider,
Nothophagus,Not003,3,3,Treeline,2LinedSpider,1,,,Spider,
Nothophagus,Not003,3,3,Treeline,thinFly,4,,,fly,
Nothophagus,Not004,1,4,Treeline,clickBeetle,1,Elateridae,,groundBeetle,
Nothophagus,Not004,1,4,Treeline,FruitFly,1,,,fly,
Nothophagus,Not004,1,4,Treeline,thinFly,2,,,fly,
Nothophagus,Not004,1,4,Treeline,SmallFly,1,,,fly,
Nothophagus,Not004,1,4,Treeline,2LinedSpider,1,,,Spider,
Nothophagus,Not004,2,4,Treeline,Neuroptera,1,,,moth,
Nothophagus,Not004,2,4,Treeline,Wasp4,5,,,wasp,
Nothophagus,Not004,2,4,Treeline,thinFly,1,,,fly,
Nothophagus,Not004,3,4,Treeline,HorseFly,1,,,fly,
Nothophagus,Not004,3,4,Treeline,Neuroptera,1,,,moth,
Nothophagus,Not004,3,4,Treeline,bigMite,1,,,mite,
Nothophagus,Not005,1,5,Treeline,Scorpion,1,Bothriurus,patagonicus,Spider,
Nothophagus,Not005,1,5,Treeline,Spider5,1,Theridiidae,,Spider,
Nothophagus,Not005,1,5,Treeline,SilverFish,1,,,silverfish,
Nothophagus,Not005,1,5,Treeline,Neuroptera,1,,,moth,
Nothophagus,Not005,2,5,Treeline,Ant,1,,,Ant,
Nothophagus,Not005,2,5,Treeline,FruitFly,1,,,fly,
Nothophagus,Not005,3,5,Treeline,craneFly,3,,,fly,
Nothophagus,Not005,3,5,Treeline,Wasp4,1,,,wasp,
Pine,Pine001,1,1,Plateau,Spider2,1,,,Spider,
Pine,Pine001,1,1,Plateau,Ant,5,,,Ant,
Pine,Pine001,1,1,Plateau,Neuroptera,2,,,moth,
Pine,Pine001,1,1,Plateau,smallMite,1,,,mite,
Pine,Pine001,2,1,Plateau,Ant,6,,,Ant,
Pine,Pine001,2,1,Plateau,Aphid,1,,,Hoppers,
Pine,Pine001,2,1,Plateau,smallMite,1,,,mite,
Pine,Pine001,3,1,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine001,3,1,Plateau,smallMite,1,,,mite,
Pine,Pine001,3,1,Plateau,bigMite,1,,,mite,
Pine,Pine002,1,2,Plateau,Curculionidae1,2,Aegorhinus,,weevil,
Pine,Pine002,1,2,Plateau,Wasp2,1,,,wasp,
Pine,Pine002,1,2,Plateau,Ant,15,,,Ant,
Pine,Pine002,1,2,Plateau,smallMite,10,,,mite,
Pine,Pine002,2,2,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine002,2,2,Plateau,Ant,12,,,Ant,
Pine,Pine002,2,2,Plateau,FruitFly,1,,,fly,
Pine,Pine002,2,2,Plateau,Neuroptera,2,,,moth,
Pine,Pine002,3,2,Plateau,Spider3,2,Theridiidae,,Spider,
Pine,Pine002,3,2,Plateau,Ant,12,,,Ant,
Pine,Pine002,3,2,Plateau,smallMite,1,,,mite,
Pine,Pine003,1,3,Plateau,Coleoptera2,1,,,groundBeetle,
Pine,Pine003,1,3,Plateau,Dermaptera1,3,Esphalmenus,porteri,dermaptera,
Pine,Pine003,1,3,Plateau,bigMite,6,,,mite,
Pine,Pine003,1,3,Plateau,Ant,20,,,Ant,
Pine,Pine003,1,3,Plateau,smallMite,80,,,mite,
Pine,Pine003,1,3,Plateau,thinFly,1,,,fly,
Pine,Pine003,1,3,Plateau,Coleoptera7,1,Sericoides,,groundBeetle,
Pine,Pine003,2,3,Plateau,Ant,15,,,Ant,
Pine,Pine003,2,3,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine003,2,3,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Pine,Pine003,2,3,Plateau,smallMite,10,,,mite,
Pine,Pine003,3,3,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine003,3,3,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine003,3,3,Plateau,thinFly,1,,,fly,
Pine,Pine003,3,3,Plateau,Ant,2,,,Ant,
Pine,Pine003,3,3,Plateau,smallMite,50,,,mite,
Pine,Pine003,3,3,Plateau,bigMite,4,,,mite,
Pine,Pine004,1,4,Plateau,Coleoptera2,1,,,groundBeetle,
Pine,Pine004,1,4,Plateau,smallMite,9,,,mite,
Pine,Pine004,1,4,Plateau,LongLeggedMite,2,,,mite,
Pine,Pine004,1,4,Plateau,Hemiptera1,4,,,Hoppers,
Pine,Pine004,1,4,Plateau,SilverFish,1,,,silverfish,
Pine,Pine004,2,4,Plateau,Orthoptera1,1,,,Hoppers,
Pine,Pine004,2,4,Plateau,smallMite,9,,,mite,
Pine,Pine004,2,4,Plateau,LongLeggedMite,4,,,mite,
Pine,Pine004,2,4,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine004,2,4,Plateau,thinFly,1,,,fly,
Pine,Pine004,2,4,Plateau,Ant,7,,,Ant,
Pine,Pine004,3,4,Plateau,FruitFly,1,,,fly,
Pine,Pine004,3,4,Plateau,springTail,1,,,springtail,
Pine,Pine004,3,4,Plateau,smallMite,1,,,mite,
Pine,Pine005,1,5,Plateau,Centipede,1,,,centipede,
Pine,Pine005,1,5,Plateau,Grasshopper,1,Acrididae,,Hoppers,
Pine,Pine005,1,5,Plateau,bigMite,4,,,mite,
Pine,Pine005,1,5,Plateau,shortMite,4,,,mite,
Pine,Pine005,1,5,Plateau,Hemiptera1,1,,,Hoppers,
Pine,Pine005,1,5,Plateau,SilverFish,1,,,silverfish,
Pine,Pine005,1,5,Plateau,Dermaptera1,2,Esphalmenus,porteri,dermaptera,
Pine,Pine005,2,5,Plateau,Dermaptera1,3,Esphalmenus,porteri,dermaptera,
Pine,Pine005,2,5,Plateau,Spider2,1,,,Spider,
Pine,Pine005,2,5,Plateau,springTail,4,,,springtail,
Pine,Pine005,2,5,Plateau,Ant,23,,,Ant,
Pine,Pine005,2,5,Plateau,bigMite,3,,,mite,
Pine,Pine005,2,5,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine005,2,5,Plateau,Curculionidae4,1,Scotylinae,,weevil,
Pine,Pine005,3,5,Plateau,Staphylinidae,1,,,groundBeetle,
Pine,Pine005,3,5,Plateau,SilverFish,1,,,silverfish,
Pine,Pine005,3,5,Plateau,Ant,150,,,Ant,
Pine,Pine005,3,5,Plateau,Aphid,1,,,Hoppers,
Pine,Pine005,3,5,Plateau,smallMite,28,,,mite,
Pine,Pine005,3,5,Plateau,bigMite,6,,,mite,
Pine,Pine006,1,6,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine006,1,6,Plateau,Ant,7,,,Ant,
Pine,Pine006,1,6,Plateau,Neuroptera,2,,,moth,
Pine,Pine006,1,6,Plateau,Centipede,1,,,centipede,
Pine,Pine006,1,6,Plateau,2LinedSpider,2,,,Spider,
Pine,Pine006,1,6,Plateau,LongLeggedMite,55,,,mite,
Pine,Pine006,2,6,Plateau,LongLeggedMite,24,,,mite,
Pine,Pine006,2,6,Plateau,Ant,1,,,Ant,
Pine,Pine006,2,6,Plateau,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Pine,Pine006,2,6,Plateau,FruitFly,1,,,fly,
Pine,Pine006,2,6,Plateau,smallCarabidae,3,,,beetle,
Pine,Pine006,2,6,Plateau,Dermaptera1,3,Esphalmenus,porteri,dermaptera,
Pine,Pine006,2,6,Plateau,Hemiptera1,1,,,Hoppers,
Pine,Pine006,2,6,Plateau,Ant2,1,,,Ant,
Pine,Pine006,2,6,Plateau,Neuroptera2,1,,,moth,
Pine,Pine006,3,6,Plateau,Ant,4,,,Ant,
Pine,Pine006,3,6,Plateau,SilverFish,1,,,silverfish,
Pine,Pine006,3,6,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Pine,Pine006,3,6,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine006,3,6,Plateau,Centipede,2,,,centipede,
Pine,Pine006,3,6,Plateau,bigMite,46,,,mite,
Pine,Pine006,3,6,Plateau,springTail,2,,,springtail,
Pine,Pine006,3,6,Plateau,smallMite,20,,,mite,
Pine,Pine007,1,7,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine007,1,7,Plateau,bigMite,3,,,mite,
Pine,Pine007,1,7,Plateau,Ant,10,,,Ant,
Pine,Pine007,2,7,Plateau,Ichneumonidae,1,Ichneumonidae,,wasp,
Pine,Pine007,2,7,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine007,2,7,Plateau,FruitFly,3,,,fly,
Pine,Pine007,2,7,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Pine,Pine008,1,8,Plateau,Ant,5,,,Ant,
Pine,Pine008,1,8,Plateau,LongLeggedMite,11,,,mite,
Pine,Pine008,2,8,Plateau,Aphid,1,,,Hoppers,
Pine,Pine008,2,8,Plateau,Coleoptera4,1,Sericoides,,groundBeetle,
Pine,Pine008,2,8,Plateau,LongLeggedMite,7,,,mite,
Pine,Pine008,2,8,Plateau,smallMite,20,,,mite,
Pine,Pine008,2,8,Plateau,Ant,4,,,Ant,
Pine,Pine008,2,8,Plateau,SilverFish,1,,,silverfish,
Pine,Pine008,3,8,Plateau,Ant,23,,,Ant,
Pine,Pine008,3,8,Plateau,SilverFish,2,,,silverfish,
Pine,Pine008,3,8,Plateau,Neuroptera,1,,,moth,
Pine,Pine008,3,8,Plateau,Centipede,1,,,centipede,
Pine,Pine008,4,8,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine008,4,8,Plateau,Neuroptera,1,,,moth,
Pine,Pine008,4,8,Plateau,bigMite,15,,,mite,
Pine,Pine008,4,8,Plateau,Ant,1,,,Ant,
Pine,Pine008,4,8,Plateau,smallMite,7,,,mite,
Pine,Pine009,1,9,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine009,1,9,Plateau,Ant,1,,,Ant,
Pine,Pine009,1,9,Plateau,FruitFly,1,,,fly,
Pine,Pine009,1,9,Plateau,LongLeggedMite,9,,,mite,
Pine,Pine009,2,9,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Pine,Pine009,2,9,Plateau,FruitFly,1,,,fly,
Pine,Pine009,2,9,Plateau,LongLeggedMite,5,,,mite,
Pine,Pine009,2,9,Plateau,springTail,1,,,springtail,
Pine,Pine009,3,9,Plateau,Ant,1,,,Ant,
Pine,Pine009,3,9,Plateau,bigMite,1,,,mite,
Pine,Pine010,1,10,Plateau,smallMite,32,,,mite,
Pine,Pine010,1,10,Plateau,Ant,5,,,Ant,
Pine,Pine010,1,10,Plateau,LongLeggedMite,9,,,mite,
Pine,Pine010,1,10,Plateau,FruitFly,1,,,fly,
Pine,Pine010,1,10,Plateau,Aphid,1,,,Hoppers,
Pine,Pine010,1,10,Plateau,SilverFish,3,,,silverfish,
Pine,Pine010,1,10,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Pine,Pine010,2,10,Plateau,BigFly,1,,,fly,
Pine,Pine010,2,10,Plateau,smallMite,31,,,mite,
Pine,Pine010,2,10,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine010,2,10,Plateau,LongLeggedMite,5,,,mite,
Pine,Pine010,2,10,Plateau,springTail,1,,,springtail,
Pine,Pine010,2,10,Plateau,Ant,7,,,Ant,
Pine,Pine010,2,10,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine010,2,10,Plateau,Aphid,1,,,Hoppers,
Pine,Pine010,3,10,Plateau,Ant,3,,,Ant,
Pine,Pine010,3,10,Plateau,fatMite,1,,,mite,
Pine,Pine010,3,10,Plateau,smallMite,2,,,mite,
Pine,Pine010,3,10,Plateau,SmallFly,1,,,fly,
Pine,Pine010,3,10,Plateau,SilverFish,1,,,silverfish,
Pine,Pine010,3,10,Plateau,2LinedSpider,2,,,Spider,
Pine,Pine011,1,11,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine011,1,11,Plateau,FruitFly,1,,,fly,
Pine,Pine011,1,11,Plateau,bigMite,2,,,mite,
Pine,Pine011,1,11,Plateau,smallMite,2,,,mite,
Pine,Pine011,1,11,Plateau,fatMite,1,,,mite,
Pine,Pine011,1,11,Plateau,Centipede,1,,,centipede,
Pine,Pine011,1,11,Plateau,SilverFish,1,,,silverfish,
Pine,Pine011,1,11,Plateau,Ant,17,,,Ant,
Pine,Pine011,2,11,Plateau,FruitFly,1,,,fly,
Pine,Pine011,2,11,Plateau,Aphid,3,,,Hoppers,
Pine,Pine011,2,11,Plateau,bigMite,2,,,mite,
Pine,Pine011,2,11,Plateau,smallMite,1,,,mite,
Pine,Pine011,2,11,Plateau,Ant,31,,,Ant,
Pine,Pine011,3,11,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine011,3,11,Plateau,Centipede,1,,,centipede,
Pine,Pine011,3,11,Plateau,thinFly,1,,,fly,
Pine,Pine011,3,11,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Pine,Pine011,3,11,Plateau,Ant,11,,,Ant,
Pine,Pine011,3,11,Plateau,bigMite,5,,,mite,
Pine,Pine011,3,11,Plateau,smallMite,9,,,mite,
Pine,Pine012,1,12,Plateau,Ant,58,,,Ant,
Pine,Pine012,1,12,Plateau,Aphid,1,,,Hoppers,
Pine,Pine012,1,12,Plateau,smallMite,7,,,mite,
Pine,Pine012,1,12,Plateau,OrangeWasp,3,Typhidae,,wasp,
Pine,Pine012,1,12,Plateau,FruitFly,1,,,fly,
Pine,Pine012,1,12,Plateau,SilverFish,3,,,silverfish,
Pine,Pine012,1,12,Plateau,bigMite,1,,,mite,
Pine,Pine012,2,12,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine012,2,12,Plateau,SilverFish,4,,,silverfish,
Pine,Pine012,2,12,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine012,2,12,Plateau,Ant,50,,,Ant,
Pine,Pine012,2,12,Plateau,smallMite,15,,,mite,
Pine,Pine012,3,12,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine012,3,12,Plateau,FruitFly,1,,,fly,
Pine,Pine012,3,12,Plateau,Dermaptera1,3,Esphalmenus,porteri,dermaptera,
Pine,Pine012,3,12,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine012,3,12,Plateau,Ant,74,,,Ant,
Pine,Pine012,3,12,Plateau,smallMite,21,,,mite,
Pine,Pine013,1,13,Plateau,Ant,17,,,Ant,
Pine,Pine013,1,13,Plateau,FruitFly,1,,,fly,
Pine,Pine013,1,13,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine013,1,13,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Pine,Pine013,1,13,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Pine,Pine013,2,13,Plateau,Hemiptera1,1,,,Hoppers,
Pine,Pine013,2,13,Plateau,Ant,15,,,Ant,
Pine,Pine013,2,13,Plateau,Aphid,1,,,Hoppers,
Pine,Pine013,2,13,Plateau,bigMite,5,,,mite,
Pine,Pine013,3,13,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine013,3,13,Plateau,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Pine,Pine013,3,13,Plateau,Ant,36,,,Ant,
Pine,Pine013,3,13,Plateau,smallMite,3,,,mite,
Pine,Pine014,1,14,Plateau,bigMite,14,,,mite,
Pine,Pine014,1,14,Plateau,Centipede,1,,,centipede,
Pine,Pine014,1,14,Plateau,Aphid,2,,,Hoppers,
Pine,Pine014,1,14,Plateau,smallMite,1,,,mite,
Pine,Pine014,1,14,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine014,1,14,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine014,1,14,Plateau,Ant,2,,,Ant,
Pine,Pine014,2,14,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine014,2,14,Plateau,Ant,4,,,Ant,
Pine,Pine014,2,14,Plateau,Neuroptera,1,,,moth,
Pine,Pine014,2,14,Plateau,bigMite,9,,,mite,
Pine,Pine014,3,14,Plateau,Ant,1,,,Ant,
Pine,Pine014,3,14,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine014,3,14,Plateau,smallMite,1,,,mite,
Pine,Pine014,3,14,Plateau,bigMite,5,,,mite,
Pine,Pine015,1,15,Plateau,Centipede,1,,,centipede,
Pine,Pine015,1,15,Plateau,Ant,70,,,Ant,
Pine,Pine015,1,15,Plateau,Aphid,2,,,Hoppers,
Pine,Pine015,1,15,Plateau,FruitFly,1,,,fly,
Pine,Pine015,1,15,Plateau,smallMite,30,,,mite,
Pine,Pine015,2,15,Plateau,Coleoptera2,1,,,groundBeetle,
Pine,Pine015,2,15,Plateau,Ant,24,,,Ant,
Pine,Pine015,2,15,Plateau,Neuroptera,1,,,moth,
Pine,Pine015,2,15,Plateau,Centipede,3,,,centipede,
Pine,Pine015,2,15,Plateau,springTail,1,,,springtail,
Pine,Pine015,2,15,Plateau,smallMite,5,,,mite,
Pine,Pine015,3,15,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine015,3,15,Plateau,SilverFish,3,,,silverfish,
Pine,Pine015,3,15,Plateau,FruitFly,1,,,fly,
Pine,Pine015,3,15,Plateau,Ant,28,,,Ant,
Pine,Pine015,3,15,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine015,3,15,Plateau,bigMite,2,,,mite,
Pine,Pine015,3,15,Plateau,smallMite,6,,,mite,
Pine,Pine016,1,16,Plateau,Centipede,2,,,centipede,
Pine,Pine016,1,16,Plateau,FruitFly,8,,,fly,
Pine,Pine016,1,16,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine016,1,16,Plateau,Spider3,4,Theridiidae,,Spider,
Pine,Pine016,1,16,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine016,1,16,Plateau,SilverFish,3,,,silverfish,
Pine,Pine016,1,16,Plateau,LongLeggedMite,1,,,mite,
Pine,Pine016,1,16,Plateau,Mite,1,,,mite,
Pine,Pine016,1,16,Plateau,Ant,31,,,Ant,
Pine,Pine016,2,16,Plateau,Ant,76,,,Ant,
Pine,Pine016,2,16,Plateau,Coleoptera1,2,Ceroglossus,,groundBeetle,
Pine,Pine016,2,16,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine016,2,16,Plateau,FruitFly,14,,,fly,
Pine,Pine016,2,16,Plateau,BigFly,2,,,fly,
Pine,Pine016,2,16,Plateau,Spider3,2,Theridiidae,,Spider,
Pine,Pine016,2,16,Plateau,SilverFish,1,,,silverfish,
Pine,Pine016,2,16,Plateau,thinFly,1,,,fly,
Pine,Pine016,2,16,Plateau,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Pine,Pine016,3,16,Plateau,Coleoptera2,1,,,groundBeetle,
Pine,Pine016,3,16,Plateau,Spider2,3,,,Spider,
Pine,Pine016,3,16,Plateau,OrangeWasp,3,Typhidae,,wasp,
Pine,Pine016,3,16,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Pine,Pine016,3,16,Plateau,SilverFish,5,,,silverfish,
Pine,Pine016,3,16,Plateau,Aphid,1,,,Hoppers,
Pine,Pine016,3,16,Plateau,Centipede,1,,,centipede,
Pine,Pine016,3,16,Plateau,FruitFly,2,,,fly,
Pine,Pine016,3,16,Plateau,smallMite,3,,,mite,
Pine,Pine016,3,16,Plateau,smallHairyBeetle,1,Derorontinae,,beetle,
Pine,Pine016,3,16,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine016,3,16,Plateau,Spider2,1,,,Spider,
Pine,Pine016,3,16,Plateau,Ant,39,,,Ant,
Pine,Pine017,1,17,Plateau,Lizard,1,,,lizard,
Pine,Pine017,1,17,Plateau,Curculionidae2,4,Scotylinae,,weevil,
Pine,Pine017,1,17,Plateau,Coleoptera4,1,Sericoides,,groundBeetle,
Pine,Pine017,1,17,Plateau,SilverFish,1,,,silverfish,
Pine,Pine017,1,17,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine017,1,17,Plateau,LongLeggedMite,3,,,mite,
Pine,Pine017,1,17,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine017,1,17,Plateau,FruitFly,1,,,fly,
Pine,Pine017,2,17,Plateau,Spider3,1,Theridiidae,,Spider,
Pine,Pine017,2,17,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine017,2,17,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine017,2,17,Plateau,FruitFly,2,,,fly,
Pine,Pine017,2,17,Plateau,Aphid,1,,,Hoppers,
Pine,Pine017,2,17,Plateau,LongLeggedMite,1,,,mite,
Pine,Pine017,2,17,Plateau,DarkMite,1,,,mite,
Pine,Pine017,3,17,Plateau,TigerMoth,1,,,moth,
Pine,Pine017,3,17,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Pine,Pine017,3,17,Plateau,OrangeWasp,6,Typhidae,,wasp,
Pine,Pine017,3,17,Plateau,Coleoptera6,1,Nyctelia,,groundBeetle,
Pine,Pine017,3,17,Plateau,FruitFly,9,,,fly,
Pine,Pine017,3,17,Plateau,Coleoptera8,1,,,groundBeetle,
Pine,Pine017,3,17,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine017,3,17,Plateau,Ant,44,,,Ant,
Pine,Pine017,3,17,Plateau,smallMite,6,,,mite,
Pine,Pine018,1,18,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine018,1,18,Plateau,Ant,4,,,Ant,
Pine,Pine018,1,18,Plateau,Centipede,1,,,centipede,
Pine,Pine018,1,18,Plateau,SmallFly,3,,,fly,
Pine,Pine018,1,18,Plateau,Aphid,2,,,Hoppers,
Pine,Pine018,1,18,Plateau,Neuroptera,3,,,moth,
Pine,Pine018,1,18,Plateau,Lampiridae,1,Discodon,magellanicum,groundBeetle,
Pine,Pine018,1,18,Plateau,smallMite,28,,,mite,
Pine,Pine018,1,18,Plateau,SilverFish,3,,,silverfish,
Pine,Pine018,1,18,Plateau,Hemiptera1,1,,,Hoppers,
Pine,Pine018,1,18,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Pine,Pine018,2,18,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Pine,Pine018,2,18,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine018,2,18,Plateau,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Pine,Pine018,2,18,Plateau,FruitFly,2,,,fly,
Pine,Pine018,2,18,Plateau,Ant,7,,,Ant,
Pine,Pine018,2,18,Plateau,Neuroptera,1,,,moth,
Pine,Pine018,2,18,Plateau,smallMite,20,,,mite,
Pine,Pine018,2,18,Plateau,bigMite,6,,,mite,
Pine,Pine018,3,18,Plateau,Scorpion,1,Bothriurus,patagonicus,Spider,
Pine,Pine018,3,18,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine018,3,18,Plateau,Coleoptera3,1,Tenebrionidae,,groundBeetle,
Pine,Pine018,3,18,Plateau,HorseFly,1,,,fly,
Pine,Pine018,3,18,Plateau,2LinedSpider,1,,,Spider,
Pine,Pine018,3,18,Plateau,Spider2,1,,,Spider,
Pine,Pine018,3,18,Plateau,Ant,4,,,Ant,
Pine,Pine018,3,18,Plateau,SilverFish,1,,,silverfish,
Pine,Pine018,3,18,Plateau,bigMite,1,,,mite,
Pine,Pine019,1,19,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Pine,Pine019,1,19,Plateau,Coleoptera2,4,,,groundBeetle,
Pine,Pine019,1,19,Plateau,LongLeggedMite,16,,,mite,
Pine,Pine019,1,19,Plateau,FruitFly,5,,,fly,
